ENSMUSG00000038793	Lefty1
ENSMUSG00000066652	Lefty2
ENSMUSG00000034394	Lif
ENSMUSG00000054263	Lifr
ENSMUSG00000050966	Lin28a
ENSMUSG00000024913	Lrp5
ENSMUSG00000030201	Lrp6
ENSMUSG00000032495	Lrrc2
ENSMUSG00000067367	Lyar
ENSMUSG00000004936	Map2k1
ENSMUSG00000035027	Map2k2
ENSMUSG00000018932	Map2k3
ENSMUSG00000058444	Map2k5
ENSMUSG00000020623	Map2k6
ENSMUSG00000063358	Mapk1
ENSMUSG00000022610	Mapk12
ENSMUSG00000063065	Mapk3
ENSMUSG00000024558	Mapk4
ENSMUSG00000042688	Mapk6
ENSMUSG00000001034	Mapk7
ENSMUSG00000035478	Mbd3
ENSMUSG00000020184	Mdm2
ENSMUSG00000079487	Med12
ENSMUSG00000033943	Mga
ENSMUSG00000039395	Mreg
ENSMUSG00000048450	Msx1
ENSMUSG00000021144	Mta1
ENSMUSG00000071646	Mta2
ENSMUSG00000028991	Mtor
ENSMUSG00000017861	Mybl2
ENSMUSG00000022346	Myc
ENSMUSG00000037169	Mycn
ENSMUSG00000000435	Myf5
ENSMUSG00000030672	Mylpf
ENSMUSG00000001910	Nacc1
ENSMUSG00000012396	Nanog
ENSMUSG00000026234	Ncl
ENSMUSG00000013465	Nelfb
ENSMUSG00000004891	Nes
ENSMUSG00000028163	Nfkb1
ENSMUSG00000025225	Nfkb2
ENSMUSG00000016409	Nkap
ENSMUSG00000027434	Nkx2-2
ENSMUSG00000058669	Nkx2-9
ENSMUSG00000048616	Nog
ENSMUSG00000026923	Notch1
ENSMUSG00000025056	Nr0b1
ENSMUSG00000069171	Nr2f1
ENSMUSG00000030551	Nr2f2
ENSMUSG00000026398	Nr5a2
ENSMUSG00000063972	Nr6a1
ENSMUSG00000021848	Otx2
ENSMUSG00000003437	Paf1
ENSMUSG00000004872	Pax3
ENSMUSG00000042323	Pbrm1
ENSMUSG00000018537	Pcgf2
ENSMUSG00000025050	Pcgf6
ENSMUSG00000038542	Pcid2
ENSMUSG00000006007	Pdc
ENSMUSG00000025856	Pdgfa
ENSMUSG00000000489	Pdgfb
ENSMUSG00000029231	Pdgfra
ENSMUSG00000024620	Pdgfrb
ENSMUSG00000006494	Pdk1
ENSMUSG00000040374	Pex2
ENSMUSG00000040669	Phc1
ENSMUSG00000028796	Phc2
ENSMUSG00000027665	Pik3ca
ENSMUSG00000032462	Pik3cb
ENSMUSG00000039936	Pik3cd
ENSMUSG00000041417	Pik3r1
ENSMUSG00000031834	Pik3r2
ENSMUSG00000024014	Pim1
ENSMUSG00000035828	Pim3
ENSMUSG00000036986	Pml
ENSMUSG00000039771	Polr2j
ENSMUSG00000024406	Pou5f1
ENSMUSG00000028882	Ppp1r8
ENSMUSG00000021948	Prkcd
ENSMUSG00000021466	Ptch1
ENSMUSG00000013663	Pten
ENSMUSG00000043733	Ptpn11
ENSMUSG00000030854	Ptpn5
ENSMUSG00000031506	Ptpn7
ENSMUSG00000020151	Ptprr
ENSMUSG00000000441	Raf1
